# Renewables.ninja Wind power (Point API) - 55.788, 12.538 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Paris, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Paris"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""55.78759154008641"""," ""lon"": ""12.537795731694663"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""500000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity,MW,,,,,,,,,,
21/02/2019 22.00,21/02/2019 23.00,373879.239,,,,,,,,,,,
21/02/2019 23.00,22/02/2019 00.00,381145.466,,,,,,,,,,,
22/02/2019 00.00,22/02/2019 01.00,362124.345,,,,,,,,,,,
22/02/2019 01.00,22/02/2019 02.00,329418.489,,,,,,,,,,,
22/02/2019 02.00,22/02/2019 03.00,306383.769,,,,,,,,,,,
22/02/2019 03.00,22/02/2019 04.00,286881.25,,,,,,,,,,,
22/02/2019 04.00,22/02/2019 05.00,278221.863,,,,,,,,,,,
22/02/2019 05.00,22/02/2019 06.00,268244.108,,,,,,,,,,,
22/02/2019 06.00,22/02/2019 07.00,259346.679,,,,,,,,,,,
22/02/2019 07.00,22/02/2019 08.00,251303.69,,,,,,,,,,,
22/02/2019 08.00,22/02/2019 09.00,296349.222,,,,,,,,,,,
22/02/2019 09.00,22/02/2019 10.00,291491.25,,,,,,,,,,,
22/02/2019 10.00,22/02/2019 11.00,269661.019,,,,,,,,,,,
22/02/2019 11.00,22/02/2019 12.00,237977.625,,,,,,,,,,,
22/02/2019 12.00,22/02/2019 13.00,198659.38,,,,,,,,,,,
22/02/2019 13.00,22/02/2019 14.00,172404.922,,,,,,,,,,,
22/02/2019 14.00,22/02/2019 15.00,160033.104,,,,,,,,,,,
22/02/2019 15.00,22/02/2019 16.00,152631.931,,,,,,,,,,,
22/02/2019 16.00,22/02/2019 17.00,166067.813,,,,,,,,,,,
22/02/2019 17.00,22/02/2019 18.00,190671.715,,,,,,,,,,,
22/02/2019 18.00,22/02/2019 19.00,210577.865,,,,,,,,,,,
22/02/2019 19.00,22/02/2019 20.00,199727.919,,,,,,,,,,,
22/02/2019 20.00,22/02/2019 21.00,190323.025,,,,,,,,,,,
22/02/2019 21.00,22/02/2019 22.00,224094.158,,,,,,,,,,,
22/02/2019 22.00,22/02/2019 23.00,274863.208,,,,,,,,,,,
22/02/2019 23.00,23/02/2019 00.00,268562.278,,,,,,,,,,,
23/02/2019 00.00,23/02/2019 01.00,227527.978,,,,,,,,,,,
23/02/2019 01.00,23/02/2019 02.00,243379.028,,,,,,,,,,,
23/02/2019 02.00,23/02/2019 03.00,240734.123,,,,,,,,,,,
23/02/2019 03.00,23/02/2019 04.00,211781.116,,,,,,,,,,,
23/02/2019 04.00,23/02/2019 05.00,189987.817,,,,,,,,,,,
23/02/2019 05.00,23/02/2019 06.00,180497.495,,,,,,,,,,,
23/02/2019 06.00,23/02/2019 07.00,182124.602,,,,,,,,,,,
23/02/2019 07.00,23/02/2019 08.00,178826.964,,,,,,,,,,,
23/02/2019 08.00,23/02/2019 09.00,202258.657,,,,,,,,,,,
23/02/2019 09.00,23/02/2019 10.00,204997.945,,,,,,,,,,,
23/02/2019 10.00,23/02/2019 11.00,183964.537,,,,,,,,,,,
23/02/2019 11.00,23/02/2019 12.00,167083.149,,,,,,,,,,,
23/02/2019 12.00,23/02/2019 13.00,155619.802,,,,,,,,,,,
23/02/2019 13.00,23/02/2019 14.00,153325.838,,,,,,,,,,,
23/02/2019 14.00,23/02/2019 15.00,145671.391,,,,,,,,,,,
23/02/2019 15.00,23/02/2019 16.00,157851.994,,,,,,,,,,,
23/02/2019 16.00,23/02/2019 17.00,202040.209,,,,,,,,,,,
23/02/2019 17.00,23/02/2019 18.00,239351.666,,,,,,,,,,,
23/02/2019 18.00,23/02/2019 19.00,261310.917,,,,,,,,,,,
23/02/2019 19.00,23/02/2019 20.00,266864.338,,,,,,,,,,,
23/02/2019 20.00,23/02/2019 21.00,261608.127,,,,,,,,,,,
23/02/2019 21.00,23/02/2019 22.00,250111.47,,,,,,,,,,,
23/02/2019 22.00,23/02/2019 23.00,239354.461,,,,,,,,,,,
23/02/2019 23.00,24/02/2019 00.00,250753.941,,,,,,,,,,,
24/02/2019 00.00,24/02/2019 01.00,240091.27,,,,,,,,,,,
24/02/2019 01.00,24/02/2019 02.00,220761.098,,,,,,,,,,,
24/02/2019 02.00,24/02/2019 03.00,207231.198,,,,,,,,,,,
24/02/2019 03.00,24/02/2019 04.00,197771.303,,,,,,,,,,,
24/02/2019 04.00,24/02/2019 05.00,193759.852,,,,,,,,,,,
24/02/2019 05.00,24/02/2019 06.00,197232.871,,,,,,,,,,,
24/02/2019 06.00,24/02/2019 07.00,198884.241,,,,,,,,,,,
24/02/2019 07.00,24/02/2019 08.00,163923.946,,,,,,,,,,,
24/02/2019 08.00,24/02/2019 09.00,128679.573,,,,,,,,,,,
24/02/2019 09.00,24/02/2019 10.00,129156.331,,,,,,,,,,,
24/02/2019 10.00,24/02/2019 11.00,165130.01,,,,,,,,,,,
24/02/2019 11.00,24/02/2019 12.00,239347.008,,,,,,,,,,,
24/02/2019 12.00,24/02/2019 13.00,279846.077,,,,,,,,,,,
24/02/2019 13.00,24/02/2019 14.00,279065.499,,,,,,,,,,,
24/02/2019 14.00,24/02/2019 15.00,232121.059,,,,,,,,,,,
24/02/2019 15.00,24/02/2019 16.00,224106.568,,,,,,,,,,,
24/02/2019 16.00,24/02/2019 17.00,252382.605,,,,,,,,,,,
24/02/2019 17.00,24/02/2019 18.00,257577.564,,,,,,,,,,,
24/02/2019 18.00,24/02/2019 19.00,269139.166,,,,,,,,,,,
24/02/2019 19.00,24/02/2019 20.00,245534.405,,,,,,,,,,,
24/02/2019 20.00,24/02/2019 21.00,208244.093,,,,,,,,,,,
24/02/2019 21.00,24/02/2019 22.00,174052.829,,,,,,,,,,,
24/02/2019 22.00,24/02/2019 23.00,146892.07,,,,,,,,,,,
24/02/2019 23.00,25/02/2019 00.00,121507.503,,,,,,,,,,,
25/02/2019 00.00,25/02/2019 01.00,121038.465,,,,,,,,,,,
25/02/2019 01.00,25/02/2019 02.00,139574.507,,,,,,,,,,,
25/02/2019 02.00,25/02/2019 03.00,172964.883,,,,,,,,,,,
25/02/2019 03.00,25/02/2019 04.00,207779.313,,,,,,,,,,,
25/02/2019 04.00,25/02/2019 05.00,228091.987,,,,,,,,,,,
25/02/2019 05.00,25/02/2019 06.00,245551.489,,,,,,,,,,,
25/02/2019 06.00,25/02/2019 07.00,268787.041,,,,,,,,,,,
25/02/2019 07.00,25/02/2019 08.00,266074.304,,,,,,,,,,,
25/02/2019 08.00,25/02/2019 09.00,240725.618,,,,,,,,,,,
25/02/2019 09.00,25/02/2019 10.00,245552.383,,,,,,,,,,,
25/02/2019 10.00,25/02/2019 11.00,261311.234,,,,,,,,,,,
25/02/2019 11.00,25/02/2019 12.00,267431.482,,,,,,,,,,,
25/02/2019 12.00,25/02/2019 13.00,278221.386,,,,,,,,,,,
25/02/2019 13.00,25/02/2019 14.00,292921.462,,,,,,,,,,,
25/02/2019 14.00,25/02/2019 15.00,287772.669,,,,,,,,,,,
25/02/2019 15.00,25/02/2019 16.00,263629.341,,,,,,,,,,,
25/02/2019 16.00,25/02/2019 17.00,303265.435,,,,,,,,,,,
25/02/2019 17.00,25/02/2019 18.00,333352.099,,,,,,,,,,,
25/02/2019 18.00,25/02/2019 19.00,349294.13,,,,,,,,,,,
25/02/2019 19.00,25/02/2019 20.00,358609.505,,,,,,,,,,,
25/02/2019 20.00,25/02/2019 21.00,345526.02,,,,,,,,,,,
25/02/2019 21.00,25/02/2019 22.00,305106.938,,,,,,,,,,,
25/02/2019 22.00,25/02/2019 23.00,281017.886,,,,,,,,,,,
25/02/2019 23.00,26/02/2019 00.00,262595.816,,,,,,,,,,,
26/02/2019 00.00,26/02/2019 01.00,238739.541,,,,,,,,,,,
26/02/2019 01.00,26/02/2019 02.00,216149.27,,,,,,,,,,,
26/02/2019 02.00,26/02/2019 03.00,200426.136,,,,,,,,,,,
26/02/2019 03.00,26/02/2019 04.00,203962.638,,,,,,,,,,,
26/02/2019 04.00,26/02/2019 05.00,207937.427,,,,,,,,,,,
26/02/2019 05.00,26/02/2019 06.00,218195.264,,,,,,,,,,,
26/02/2019 06.00,26/02/2019 07.00,207819.703,,,,,,,,,,,
26/02/2019 07.00,26/02/2019 08.00,165788.357,,,,,,,,,,,
26/02/2019 08.00,26/02/2019 09.00,126403.877,,,,,,,,,,,
26/02/2019 09.00,26/02/2019 10.00,88096.721,,,,,,,,,,,
26/02/2019 10.00,26/02/2019 11.00,63346.469,,,,,,,,,,,
26/02/2019 11.00,26/02/2019 12.00,56551.891,,,,,,,,,,,
26/02/2019 12.00,26/02/2019 13.00,67005.67,,,,,,,,,,,
26/02/2019 13.00,26/02/2019 14.00,80598.549,,,,,,,,,,,
26/02/2019 14.00,26/02/2019 15.00,84689.376,,,,,,,,,,,
26/02/2019 15.00,26/02/2019 16.00,97601.611,,,,,,,,,,,
26/02/2019 16.00,26/02/2019 17.00,121964.672,,,,,,,,,,,
26/02/2019 17.00,26/02/2019 18.00,137206.731,,,,,,,,,,,
26/02/2019 18.00,26/02/2019 19.00,159148.535,,,,,,,,,,,
26/02/2019 19.00,26/02/2019 20.00,184867.946,,,,,,,,,,,
26/02/2019 20.00,26/02/2019 21.00,211836.778,,,,,,,,,,,
26/02/2019 21.00,26/02/2019 22.00,230795.789,,,,,,,,,,,
26/02/2019 22.00,26/02/2019 23.00,236005.43,,,,,,,,,,,
26/02/2019 23.00,27/02/2019 00.00,227256.048,,,,,,,,,,,
27/02/2019 00.00,27/02/2019 01.00,216986.115,,,,,,,,,,,
27/02/2019 01.00,27/02/2019 02.00,220761.337,,,,,,,,,,,
27/02/2019 02.00,27/02/2019 03.00,231777.647,,,,,,,,,,,
27/02/2019 03.00,27/02/2019 04.00,223508.712,,,,,,,,,,,
27/02/2019 04.00,27/02/2019 05.00,211082.38,,,,,,,,,,,
27/02/2019 05.00,27/02/2019 06.00,206378.341,,,,,,,,,,,
27/02/2019 06.00,27/02/2019 07.00,212327.634,,,,,,,,,,,
27/02/2019 07.00,27/02/2019 08.00,209791.165,,,,,,,,,,,
27/02/2019 08.00,27/02/2019 09.00,189458.917,,,,,,,,,,,
27/02/2019 09.00,27/02/2019 10.00,209651.269,,,,,,,,,,,
27/02/2019 10.00,27/02/2019 11.00,261144.267,,,,,,,,,,,
27/02/2019 11.00,27/02/2019 12.00,299322.404,,,,,,,,,,,
27/02/2019 12.00,27/02/2019 13.00,312168.919,,,,,,,,,,,
27/02/2019 13.00,27/02/2019 14.00,308929.869,,,,,,,,,,,
27/02/2019 14.00,27/02/2019 15.00,278117.383,,,,,,,,,,,
27/02/2019 15.00,27/02/2019 16.00,321457.792,,,,,,,,,,,
27/02/2019 16.00,27/02/2019 17.00,389643.123,,,,,,,,,,,
27/02/2019 17.00,27/02/2019 18.00,412856.959,,,,,,,,,,,
27/02/2019 18.00,27/02/2019 19.00,413366.614,,,,,,,,,,,
27/02/2019 19.00,27/02/2019 20.00,404646.807,,,,,,,,,,,
27/02/2019 20.00,27/02/2019 21.00,393379.644,,,,,,,,,,,
27/02/2019 21.00,27/02/2019 22.00,383593.625,,,,,,,,,,,
27/02/2019 22.00,27/02/2019 23.00,371951.346,,,,,,,,,,,
27/02/2019 23.00,28/02/2019 00.00,363249.689,,,,,,,,,,,
28/02/2019 00.00,28/02/2019 01.00,352174.561,,,,,,,,,,,
28/02/2019 01.00,28/02/2019 02.00,333861.185,,,,,,,,,,,
28/02/2019 02.00,28/02/2019 03.00,325410.52,,,,,,,,,,,
28/02/2019 03.00,28/02/2019 04.00,337719.068,,,,,,,,,,,
28/02/2019 04.00,28/02/2019 05.00,315717.423,,,,,,,,,,,
28/02/2019 05.00,28/02/2019 06.00,310776.069,,,,,,,,,,,
28/02/2019 06.00,28/02/2019 07.00,313746.941,,,,,,,,,,,
28/02/2019 07.00,28/02/2019 08.00,300613.255,,,,,,,,,,,
28/02/2019 08.00,28/02/2019 09.00,280232.922,,,,,,,,,,,
28/02/2019 09.00,28/02/2019 10.00,231767.942,,,,,,,,,,,
28/02/2019 10.00,28/02/2019 11.00,201068.062,,,,,,,,,,,
28/02/2019 11.00,28/02/2019 12.00,198878.704,,,,,,,,,,,
28/02/2019 12.00,28/02/2019 13.00,208930.298,,,,,,,,,,,
28/02/2019 13.00,28/02/2019 14.00,220928.462,,,,,,,,,,,
28/02/2019 14.00,28/02/2019 15.00,214126.639,,,,,,,,,,,
28/02/2019 15.00,28/02/2019 16.00,209778.179,,,,,,,,,,,
28/02/2019 16.00,28/02/2019 17.00,221810.225,,,,,,,,,,,
28/02/2019 17.00,28/02/2019 18.00,203649.273,,,,,,,,,,,
28/02/2019 18.00,28/02/2019 19.00,169515.268,,,,,,,,,,,
28/02/2019 19.00,28/02/2019 20.00,125745.596,,,,,,,,,,,
28/02/2019 20.00,28/02/2019 21.00,82342.858,,,,,,,,,,,
28/02/2019 21.00,28/02/2019 22.00,51770.11,,,,,,,,,,,
28/02/2019 22.00,28/02/2019 23.00,34448.476,,,,,,,,,,,
28/02/2019 23.00,01/03/2019 00.00,25314.137,,,,,,,,,,,
01/03/2019 00.00,01/03/2019 01.00,16696.226,,,,,,,,,,,
01/03/2019 01.00,01/03/2019 02.00,9501.431,,,,,,,,,,,
01/03/2019 02.00,01/03/2019 03.00,7479.713,,,,,,,,,,,
01/03/2019 03.00,01/03/2019 04.00,7471.164,,,,,,,,,,,
01/03/2019 04.00,01/03/2019 05.00,6199.061,,,,,,,,,,,
01/03/2019 05.00,01/03/2019 06.00,6795.502,,,,,,,,,,,
01/03/2019 06.00,01/03/2019 07.00,9509.058,,,,,,,,,,,
01/03/2019 07.00,01/03/2019 08.00,9082.17,,,,,,,,,,,
01/03/2019 08.00,01/03/2019 09.00,9007.373,,,,,,,,,,,
01/03/2019 09.00,01/03/2019 10.00,20538.833,,,,,,,,,,,
01/03/2019 10.00,01/03/2019 11.00,35871.74,,,,,,,,,,,
01/03/2019 11.00,01/03/2019 12.00,48690.722,,,,,,,,,,,
01/03/2019 12.00,01/03/2019 13.00,52067.606,,,,,,,,,,,
01/03/2019 13.00,01/03/2019 14.00,50749.818,,,,,,,,,,,
01/03/2019 14.00,01/03/2019 15.00,50608.823,,,,,,,,,,,
01/03/2019 15.00,01/03/2019 16.00,60323.293,,,,,,,,,,,
01/03/2019 16.00,01/03/2019 17.00,81389.067,,,,,,,,,,,
01/03/2019 17.00,01/03/2019 18.00,102492.914,,,,,,,,,,,
01/03/2019 18.00,01/03/2019 19.00,125485.641,,,,,,,,,,,
01/03/2019 19.00,01/03/2019 20.00,146245.539,,,,,,,,,,,
01/03/2019 20.00,01/03/2019 21.00,154834.252,,,,,,,,,,,
01/03/2019 21.00,01/03/2019 22.00,151086.28,,,,,,,,,,,
01/03/2019 22.00,01/03/2019 23.00,151826.014,,,,,,,,,,,
01/03/2019 23.00,02/03/2019 00.00,164758.328,,,,,,,,,,,
02/03/2019 00.00,02/03/2019 01.00,171169.142,,,,,,,,,,,
02/03/2019 01.00,02/03/2019 02.00,168377.912,,,,,,,,,,,
02/03/2019 02.00,02/03/2019 03.00,162679.238,,,,,,,,,,,
02/03/2019 03.00,02/03/2019 04.00,158698.303,,,,,,,,,,,
02/03/2019 04.00,02/03/2019 05.00,158568.211,,,,,,,,,,,
02/03/2019 05.00,02/03/2019 06.00,159368.401,,,,,,,,,,,
02/03/2019 06.00,02/03/2019 07.00,161932.117,,,,,,,,,,,
02/03/2019 07.00,02/03/2019 08.00,170933.078,,,,,,,,,,,
02/03/2019 08.00,02/03/2019 09.00,188136.622,,,,,,,,,,,
02/03/2019 09.00,02/03/2019 10.00,188828.46,,,,,,,,,,,
02/03/2019 10.00,02/03/2019 11.00,175713.42,,,,,,,,,,,
02/03/2019 11.00,02/03/2019 12.00,168371.251,,,,,,,,,,,
02/03/2019 12.00,02/03/2019 13.00,174227.279,,,,,,,,,,,
02/03/2019 13.00,02/03/2019 14.00,184910.914,,,,,,,,,,,
02/03/2019 14.00,02/03/2019 15.00,184610.174,,,,,,,,,,,
02/03/2019 15.00,02/03/2019 16.00,180678.203,,,,,,,,,,,
02/03/2019 16.00,02/03/2019 17.00,241630.576,,,,,,,,,,,
02/03/2019 17.00,02/03/2019 18.00,285030.98,,,,,,,,,,,
02/03/2019 18.00,02/03/2019 19.00,297392.656,,,,,,,,,,,
02/03/2019 19.00,02/03/2019 20.00,305109.678,,,,,,,,,,,
02/03/2019 20.00,02/03/2019 21.00,333765.105,,,,,,,,,,,
02/03/2019 21.00,02/03/2019 22.00,357565.476,,,,,,,,,,,
02/03/2019 22.00,02/03/2019 23.00,367267.62,,,,,,,,,,,
02/03/2019 23.00,03/03/2019 00.00,369945.369,,,,,,,,,,,
03/03/2019 00.00,03/03/2019 01.00,376203.474,,,,,,,,,,,
03/03/2019 01.00,03/03/2019 02.00,399268.488,,,,,,,,,,,
03/03/2019 02.00,03/03/2019 03.00,414578.508,,,,,,,,,,,
03/03/2019 03.00,03/03/2019 04.00,435016.897,,,,,,,,,,,
03/03/2019 04.00,03/03/2019 05.00,424316.559,,,,,,,,,,,
03/03/2019 05.00,03/03/2019 06.00,429322.854,,,,,,,,,,,
03/03/2019 06.00,03/03/2019 07.00,459945.352,,,,,,,,,,,
03/03/2019 07.00,03/03/2019 08.00,478755.958,,,,,,,,,,,
03/03/2019 08.00,03/03/2019 09.00,453056.824,,,,,,,,,,,
03/03/2019 09.00,03/03/2019 10.00,466125.063,,,,,,,,,,,
03/03/2019 10.00,03/03/2019 11.00,466946.633,,,,,,,,,,,
03/03/2019 11.00,03/03/2019 12.00,461189.669,,,,,,,,,,,
03/03/2019 12.00,03/03/2019 13.00,448585.551,,,,,,,,,,,
03/03/2019 13.00,03/03/2019 14.00,426643.325,,,,,,,,,,,
03/03/2019 14.00,03/03/2019 15.00,403025.318,,,,,,,,,,,
03/03/2019 15.00,03/03/2019 16.00,369720.173,,,,,,,,,,,
03/03/2019 16.00,03/03/2019 17.00,324564.022,,,,,,,,,,,
03/03/2019 17.00,03/03/2019 18.00,315235.738,,,,,,,,,,,
03/03/2019 18.00,03/03/2019 19.00,315465.024,,,,,,,,,,,
03/03/2019 19.00,03/03/2019 20.00,312315.885,,,,,,,,,,,
03/03/2019 20.00,03/03/2019 21.00,296893.495,,,,,,,,,,,
03/03/2019 21.00,03/03/2019 22.00,249574.686,,,,,,,,,,,
03/03/2019 22.00,03/03/2019 23.00,182451.07,,,,,,,,,,,
03/03/2019 23.00,04/03/2019 00.00,158752.453,,,,,,,,,,,
04/03/2019 00.00,04/03/2019 01.00,201973.722,,,,,,,,,,,
04/03/2019 01.00,04/03/2019 02.00,281701.495,,,,,,,,,,,
04/03/2019 02.00,04/03/2019 03.00,345185.554,,,,,,,,,,,
04/03/2019 03.00,04/03/2019 04.00,393216.674,,,,,,,,,,,
04/03/2019 04.00,04/03/2019 05.00,448372.305,,,,,,,,,,,
04/03/2019 05.00,04/03/2019 06.00,433518.257,,,,,,,,,,,
04/03/2019 06.00,04/03/2019 07.00,420882.719,,,,,,,,,,,
04/03/2019 07.00,04/03/2019 08.00,425780.219,,,,,,,,,,,
04/03/2019 08.00,04/03/2019 09.00,415463.723,,,,,,,,,,,
04/03/2019 09.00,04/03/2019 10.00,423395.181,,,,,,,,,,,
04/03/2019 10.00,04/03/2019 11.00,420150.583,,,,,,,,,,,
04/03/2019 11.00,04/03/2019 12.00,442212.678,,,,,,,,,,,
04/03/2019 12.00,04/03/2019 13.00,458294.848,,,,,,,,,,,
04/03/2019 13.00,04/03/2019 14.00,462166.583,,,,,,,,,,,
04/03/2019 14.00,04/03/2019 15.00,443138.772,,,,,,,,,,,
04/03/2019 15.00,04/03/2019 16.00,436704.258,,,,,,,,,,,
04/03/2019 16.00,04/03/2019 17.00,446291.863,,,,,,,,,,,
04/03/2019 17.00,04/03/2019 18.00,457878.231,,,,,,,,,,,
04/03/2019 18.00,04/03/2019 19.00,460360.122,,,,,,,,,,,
04/03/2019 19.00,04/03/2019 20.00,468870.953,,,,,,,,,,,
04/03/2019 20.00,04/03/2019 21.00,480354.135,,,,,,,,,,,
04/03/2019 21.00,04/03/2019 22.00,486463.357,,,,,,,,,,,
04/03/2019 22.00,04/03/2019 23.00,487265.461,,,,,,,,,,,
04/03/2019 23.00,05/03/2019 00.00,484777.945,,,,,,,,,,,
05/03/2019 00.00,05/03/2019 01.00,479247.212,,,,,,,,,,,
05/03/2019 01.00,05/03/2019 02.00,470305.828,,,,,,,,,,,
05/03/2019 02.00,05/03/2019 03.00,463944.419,,,,,,,,,,,
05/03/2019 03.00,05/03/2019 04.00,459227.151,,,,,,,,,,,
05/03/2019 04.00,05/03/2019 05.00,459177.342,,,,,,,,,,,
05/03/2019 05.00,05/03/2019 06.00,458273.926,,,,,,,,,,,
05/03/2019 06.00,05/03/2019 07.00,444083.347,,,,,,,,,,,
05/03/2019 07.00,05/03/2019 08.00,426004.659,,,,,,,,,,,
05/03/2019 08.00,05/03/2019 09.00,396159.648,,,,,,,,,,,
05/03/2019 09.00,05/03/2019 10.00,369043.367,,,,,,,,,,,
05/03/2019 10.00,05/03/2019 11.00,337022.726,,,,,,,,,,,
05/03/2019 11.00,05/03/2019 12.00,294769.772,,,,,,,,,,,
05/03/2019 12.00,05/03/2019 13.00,264874.378,,,,,,,,,,,
05/03/2019 13.00,05/03/2019 14.00,220056.346,,,,,,,,,,,
05/03/2019 14.00,05/03/2019 15.00,164294.577,,,,,,,,,,,
05/03/2019 15.00,05/03/2019 16.00,115204.63,,,,,,,,,,,
05/03/2019 16.00,05/03/2019 17.00,80498.133,,,,,,,,,,,
05/03/2019 17.00,05/03/2019 18.00,52813.02,,,,,,,,,,,
05/03/2019 18.00,05/03/2019 19.00,30538.215,,,,,,,,,,,
05/03/2019 19.00,05/03/2019 20.00,54162.307,,,,,,,,,,,
05/03/2019 20.00,05/03/2019 21.00,79590.162,,,,,,,,,,,
05/03/2019 21.00,05/03/2019 22.00,107251.969,,,,,,,,,,,
05/03/2019 22.00,05/03/2019 23.00,125481.285,,,,,,,,,,,
05/03/2019 23.00,06/03/2019 00.00,134994.067,,,,,,,,,,,
06/03/2019 00.00,06/03/2019 01.00,129972.858,,,,,,,,,,,
06/03/2019 01.00,06/03/2019 02.00,130683.057,,,,,,,,,,,
06/03/2019 02.00,06/03/2019 03.00,139099.531,,,,,,,,,,,
06/03/2019 03.00,06/03/2019 04.00,163865.847,,,,,,,,,,,
06/03/2019 04.00,06/03/2019 05.00,150617.486,,,,,,,,,,,
06/03/2019 05.00,06/03/2019 06.00,168364.105,,,,,,,,,,,
06/03/2019 06.00,06/03/2019 07.00,183097.304,,,,,,,,,,,
06/03/2019 07.00,06/03/2019 08.00,231953.132,,,,,,,,,,,
06/03/2019 08.00,06/03/2019 09.00,279061.798,,,,,,,,,,,
06/03/2019 09.00,06/03/2019 10.00,314591.691,,,,,,,,,,,
06/03/2019 10.00,06/03/2019 11.00,339122.788,,,,,,,,,,,
06/03/2019 11.00,06/03/2019 12.00,345398.636,,,,,,,,,,,
06/03/2019 12.00,06/03/2019 13.00,346876.013,,,,,,,,,,,
06/03/2019 13.00,06/03/2019 14.00,345101.58,,,,,,,,,,,
06/03/2019 14.00,06/03/2019 15.00,366145.587,,,,,,,,,,,
06/03/2019 15.00,06/03/2019 16.00,412195.895,,,,,,,,,,,
06/03/2019 16.00,06/03/2019 17.00,436183.044,,,,,,,,,,,
06/03/2019 17.00,06/03/2019 18.00,451655.22,,,,,,,,,,,
06/03/2019 18.00,06/03/2019 19.00,459209.014,,,,,,,,,,,
06/03/2019 19.00,06/03/2019 20.00,460779.964,,,,,,,,,,,
06/03/2019 20.00,06/03/2019 21.00,460456.601,,,,,,,,,,,
06/03/2019 21.00,06/03/2019 22.00,454318.802,,,,,,,,,,,
06/03/2019 22.00,06/03/2019 23.00,439600.227,,,,,,,,,,,
06/03/2019 23.00,07/03/2019 00.00,423021.912,,,,,,,,,,,
07/03/2019 00.00,07/03/2019 01.00,399163.748,,,,,,,,,,,
07/03/2019 01.00,07/03/2019 02.00,368779.268,,,,,,,,,,,
07/03/2019 02.00,07/03/2019 03.00,339768.291,,,,,,,,,,,
07/03/2019 03.00,07/03/2019 04.00,328230.382,,,,,,,,,,,
07/03/2019 04.00,07/03/2019 05.00,313113.227,,,,,,,,,,,
07/03/2019 05.00,07/03/2019 06.00,294764.971,,,,,,,,,,,
07/03/2019 06.00,07/03/2019 07.00,275176.463,,,,,,,,,,,
07/03/2019 07.00,07/03/2019 08.00,271573.237,,,,,,,,,,,
07/03/2019 08.00,07/03/2019 09.00,284226.366,,,,,,,,,,,
07/03/2019 09.00,07/03/2019 10.00,285555.613,,,,,,,,,,,
07/03/2019 10.00,07/03/2019 11.00,305110.014,,,,,,,,,,,
07/03/2019 11.00,07/03/2019 12.00,339321.981,,,,,,,,,,,
07/03/2019 12.00,07/03/2019 13.00,346930.126,,,,,,,,,,,
07/03/2019 13.00,07/03/2019 14.00,421181.263,,,,,,,,,,,
07/03/2019 14.00,07/03/2019 15.00,484889.42,,,,,,,,,,,
07/03/2019 15.00,07/03/2019 16.00,495381.096,,,,,,,,,,,
07/03/2019 16.00,07/03/2019 17.00,494319.368,,,,,,,,,,,
07/03/2019 17.00,07/03/2019 18.00,487169.457,,,,,,,,,,,
07/03/2019 18.00,07/03/2019 19.00,476227.639,,,,,,,,,,,
07/03/2019 19.00,07/03/2019 20.00,463607.233,,,,,,,,,,,
07/03/2019 20.00,07/03/2019 21.00,459220.774,,,,,,,,,,,
07/03/2019 21.00,07/03/2019 22.00,462923.602,,,,,,,,,,,
07/03/2019 22.00,07/03/2019 23.00,470622.796,,,,,,,,,,,
07/03/2019 23.00,08/03/2019 00.00,471865.581,,,,,,,,,,,
08/03/2019 00.00,08/03/2019 01.00,476713.562,,,,,,,,,,,
08/03/2019 01.00,08/03/2019 02.00,479053.704,,,,,,,,,,,
08/03/2019 02.00,08/03/2019 03.00,476612.728,,,,,,,,,,,
08/03/2019 03.00,08/03/2019 04.00,470986.919,,,,,,,,,,,
08/03/2019 04.00,08/03/2019 05.00,451692.855,,,,,,,,,,,
08/03/2019 05.00,08/03/2019 06.00,439954.602,,,,,,,,,,,
08/03/2019 06.00,08/03/2019 07.00,440115.353,,,,,,,,,,,
08/03/2019 07.00,08/03/2019 08.00,448251.746,,,,,,,,,,,
08/03/2019 08.00,08/03/2019 09.00,477405.61,,,,,,,,,,,
08/03/2019 09.00,08/03/2019 10.00,494908.547,,,,,,,,,,,
08/03/2019 10.00,08/03/2019 11.00,491614.921,,,,,,,,,,,
08/03/2019 11.00,08/03/2019 12.00,480807.17,,,,,,,,,,,
08/03/2019 12.00,08/03/2019 13.00,480235.385,,,,,,,,,,,
08/03/2019 13.00,08/03/2019 14.00,484970.041,,,,,,,,,,,
08/03/2019 14.00,08/03/2019 15.00,490182.99,,,,,,,,,,,
08/03/2019 15.00,08/03/2019 16.00,495577.202,,,,,,,,,,,
08/03/2019 16.00,08/03/2019 17.00,491889.062,,,,,,,,,,,
08/03/2019 17.00,08/03/2019 18.00,484138.019,,,,,,,,,,,
08/03/2019 18.00,08/03/2019 19.00,476734.242,,,,,,,,,,,
